Name                           | Usage      | Type/Alias                     | Description
------------------------------ | ---------- | ------------------------------ | --------------------
AlmActive                      | Local      | Alias->Local:3:O.Data.14       | Compressor Alarm Active
AlmHornSil                     | Local      | BOOL                           | 
Alm_Fire                       | Local      | Alias->Local:2:I.Data.9        | 
Alm_Gas                        | Local      | Alias->Local:2:I.Data.7        | 
Alm_Vib                        | Local      | Alias->Local:2:I.Data.11       | 
ASC_Auto                       | Local      | BOOL                           | Anti Surge Control to Aut
ASC_Enable                     | Local      | BOOL                           | Anti Surge Control Enable
ASC_Flow                       | Local      | REAL                           | Anti Surge Control Flow
ASC_Ki                         | Local      | REAL                           | Anti Surge Control Ki
ASC_Kp                         | Local      | REAL                           | Anti Surge Control Kp
ASC_LowMarginAlm               | Local      | BOOL                           | Anti Surge Control Low Margine Alarm
ASC_MarginSP                   | Local      | REAL                           | Anti Surge Control Magin SP
ASC_PressRatio                 | Local      | REAL                           | Anti Surge Control Pressure Ratio
ASC_RecycleCmd                 | Local      | REAL                           | Anti Surge Control Recycle Cmd
ASC_SurgeIndex                 | Local      | REAL                           | Anti Surge Control Surge Index
ASC_SurgeLimit                 | Local      | REAL                           | Anti Surge Control Surge Limit
ASC_SurgeMargin                | Local      | REAL                           | Anti Surge Control Surge Margin
BDV101_Closed                  | Local      | Alias->Local:2:I.Data.5        | 
BDV101_CmdOpen                 | Local      | Alias->Local:3:O.Data.4        | Open Cmd BDV-101 Blowdown Vavle
BDV101_Open                    | Local      | Alias->Local:2:I.Data.4        | 
CFG_FanOffTemp                 | Local      | REAL                           | Cooler Fan Off Temp (C)
CFG_FanOnTemp                  | Local      | REAL                           | Cooler Fan On Temp (C)
CFG_LO_Press_Min               | Local      | REAL                           | Min Lube Oil Pressure (barg)
CFG_PostLubeTime               | Local      | DINT                           | Post-Lube Time Normal (ms)
CFG_PostLubeTripTime           | Local      | DINT                           | Post-Lube Time After Trip (ms)
CFG_PrelubeTime                | Local      | DINT                           | Prelube Time Required (ms)
CFG_PrelubeTimeout             | Local      | DINT                           | Prelube Timeout (ms)
CFG_PT102_H                    | Local      | REAL                           | Discharge Press High Alarm (barg)
CFG_PT102_HH                   | Local      | REAL                           | Discharge Press HH Trip (barg)
CFG_PT201_L                    | Local      | REAL                           | Lube Oil Press Low Alarm (barg)
CFG_PT201_LL                   | Local      | REAL                           | Lube Oil Press LL Trip (barg)
CFG_RecycleMinRun              | Local      | REAL                           | Min Recycle While Running (%)
CFG_RecycleShutdown            | Local      | REAL                           | Recycle for Shutdown (%)
CFG_SpeedMax                   | Local      | REAL                           | VFD Max Speed (%)
CFG_SpeedMin                   | Local      | REAL                           | VFD Min Speed (%)
CFG_SpeedStart                 | Local      | REAL                           | VFD Start Speed (%)
CFG_SurgeMarginAlm             | Local      | REAL                           | Surge Margin Alarm (%)
CFG_SurgeMarginTrip            | Local      | REAL                           | Surge Margin Trip (%)
CFG_TripDelay                  | Local      | DINT                           | Process Trip Delay (ms)
CFG_TT102_H                    | Local      | REAL                           | Discharge Temp High Alarm (C)
CFG_TT102_HH                   | Local      | REAL                           | Discharge Temp HH Trip (C)
CFG_ValveTimeout               | Local      | DINT                           | Valve Travel Timeout (ms)
CFG_VFDStartTimeout            | Local      | DINT                           | VFD Start Timeout (ms)
CFG_WarmupTime                 | Local      | DINT                           | Warmup Time (ms)
CmdReset                       | Local      | BOOL                           | 
CmdStart                       | Local      | BOOL                           | 
CmdStop                        | Local      | BOOL                           | 
CV101_Cmd                      | Local      | REAL                           | CV-101 Recycle Valve Command (%)
FanCmd                         | Local      | Alias->Local:3:O.Data.6        | Fan Cmd (1=Start,0=Stop)
FanFlt                         | Local      | Alias->Local:1:I.Data.6        | 
FanRun                         | Local      | Alias->Local:1:I.Data.5        | 
FT101_Fault                    | Local      | Alias->Local:6:I.Ch0Fault      | 
FT101_PV                       | Local      | Alias->Local:6:I.Ch0Data       | FT-101 Compressor Flow (m3/h)
HMI_Reset                      | Local      | BOOL                           | Reset Cmd from HMI
HMI_SilenceHorn                | Local      | BOOL                           | Silence Horn Cmd from HMI
HMI_SP_Press                   | Local      | REAL                           | 
HMI_Start                      | Local      | BOOL                           | Start Cmd from HMI
HMI_Stop                       | Local      | BOOL                           | Stop Cmd from HMI
